comment,video_sentiment
I like it that you do your mini introduction and when straight to the point THANK YOU!,pos
THANK YOU SO MUCH FOR THIS TUTORIAL. I've been so annoyed from all those apps popping up when I start my laptop! And also I love how you just quickly explain what you are going to teach us in the intro and then just get straight into the point.,pos
"Thanks for making this video.

Its simple, doesn't waste time and it does its job",pos
u are the only person which is not clickbait i swear thank you so much!you just got a sub,pos
"Great video, simple straight to the point. Didn't need to fast forward or skip any part of it 👍🏾",pos
"Fast and simple, no fancy 12 hour video. Good job.",pos
Thanks ever so much my memory usage went down with 50 percent!!! 👌👌🍺,pos
I like your lil intro.....and then BOOM straight to the point with reasons and points. Period. You won a subscriber today as others that watched this also. Thanx Bruv 🥂,pos
I had an app that was trying to start even though I had uninstalled it. This helped me so much. Thanks 😊,pos
"Thank you so much! Discord and genshin impact were auto starting and it made it hard to get to class on time because it really slowed my laptop down! This helped a lot, thank you :)",pos
"*I used to know how to do this but I'm old and forgot again, thanks for the refresher course.*",pos
"Much appreciated that u made this video, tried googling it and had no luck, I had 19 things that were ""high impact"" and now my pc starts up way faster",pos
Thank you so much it was so annoying waiting for all my apps to load so that I could close them,pos
"Window 10 is always difficult, it is an interface that for me is not friendly, thanks to these videos they teach us to work with this platform",pos
You are so easy to understanding and explain things well; thanks for all your knowledge x,pos
Thank you so much. Years of waiting a whole hour to use my computer. I had so many start up programs.,pos
He sounds like Daily Dose of The Internet,pos
"Thank you so much! I had programs killing my games and I couldn't figure it out until this video. Definitely earned a subscriber, I hope all employees at Microsoft are as to the point as you 👍👍",pos
0:43 is where it actually starts,pos
Thanks alot bro that was much needed for my laptop as I have to wait atleast 5 min Everytime for some unnecessary startup apps😌♥️ thanks and love from Pakistan🇵🇰,pos
Thank you!! I have been dealing with this problem for awhile and this finally solved it. Also thank you for being quick and to the point.,pos
Thank you for sparing us the theme-song jingle we always have to sit through prior to long lectures that nobody understands AND for not playing annoying background music during your program.,pos
"Simple, straight to the point and useful. Thank you 😁👍🏻",pos
"I can see why Microsoft hired u, straight to the point and easy to understand",pos
Thank you for a rather brief and straight to the point walkthrough. 👍😊,pos
thanks! one of the only youtubers who goes straight to the point!,pos
Why are you running? WHY are you running?,pos
"That friendly ""hi everyone"" in this early morning is what got my ""like"" right away",pos
"Happy to have come across your page, thank you for this video! New sub",pos
I like videos such as these that are first of all relevant and quick & to the point....... I don't need to know what the youtuber had for breakfast or how they struggled on what color t shirt to wear when I'm just looking for program tips.   Thanks again!,pos
broo.. this is the video i needed,pos
omg thank you. I have been dealing with like 5 things that start up for years and finally got around to search about how to disable that :D just disabled everything haha.,pos
When he said i work at Microsoft full time i was like hell yeah Subscribe 😂 but Thanks bro,pos
THANK. YOU. my man saving me 3 minutes everytime i start my computer,pos
Thank you so much I got so tired of closing the apps out when I did not need them.,pos
Thank you soo much!. This video literally made many of my start up apps close and made my laptop a lot faster. I searched on internet for days on how to close them and I finally found this video. Thanks once again!,pos
Thanks not only for helping with the problem but also with just getting to the point unlike most tech tutorials lol.,pos
"Thanks, really helped! I hated to always close the apps on my pc but youre a life saver, thanks again.",pos
"Man, I really like the way you deliver instructions, so simple. Thanks alot.",pos
I really appreciate you showing how to disable startup program.,pos
thanks man this was something i dearly needed i am a vr player and steam programs came flooding in when i started up windows and discord it hurt my pc bad really slow. Helped heaps thanks :),pos
Thank you for helping me I had 4 different apps opening and I didn't know how to stop that. I was looking through 5 different videos when I saw yours and it seems to have worked.,pos
Thank you this was a life saver! I learned a lot. I was getting annoyed for things just keep randomly popping up on my pc.,pos
